;length;nb
1;1;19
2;2;8
3;3;7
4;4;10
5;5;11
6;6;2
7;7;11
8;8;7
9;9;7
10;10;13
11;11;36
12;12;114
13;13;198
14;14;271
15;15;333
16;16;505
17;17;674
18;18;877
19;19;1177
20;20;1407
21;21;1743
22;22;1994
23;23;2313
24;24;2730
25;25;3011
26;26;3638
27;27;3937
28;28;4461
29;29;4678
30;30;5356
31;31;5627
32;32;6257
33;33;6608
34;34;6636
35;35;7084
36;36;7232
37;37;7910
38;38;8167
39;39;8026
40;40;8010
41;41;8107
42;42;8434
43;43;8328
44;44;8519
45;45;8550
46;46;8064
47;47;8180
48;48;7944
49;49;7909
50;50;7673
51;51;7313
52;52;7032
53;53;7144
54;54;6769
55;55;6172
56;56;6137
57;57;6112
58;58;5644
59;59;5572
60;60;5425
61;61;5105
62;62;4832
63;63;4751
64;64;4422
65;65;4312
66;66;4075
67;67;4149
68;68;3842
69;69;3623
70;70;3708
71;71;3501
72;72;3217
73;73;3181
74;74;3222
75;75;2834
76;76;2894
77;77;2858
78;78;2836
79;79;2734
80;80;2441
81;81;2354
82;82;2499
83;83;2539
84;84;2348
85;85;2306
86;86;2138
87;87;1963
88;88;1937
89;89;1903
90;90;1886
91;91;1866
92;92;1685
93;93;1691
94;94;1570
95;95;1528
96;96;1471
97;97;1434
98;98;1248
99;99;1195
100;100;1163
101;101;1118
102;102;1149
103;103;1083
104;104;1147
105;105;1107
106;106;989
107;107;1076
108;108;929
109;109;885
110;110;929
111;111;859
112;112;763
113;113;768
114;114;809
115;115;820
116;116;658
117;117;669
118;118;706
119;119;747
120;120;763
121;121;745
122;122;771
123;123;649
124;124;655
125;125;616
126;126;578
127;127;544
128;128;486
129;129;502
130;130;466
131;131;478
132;132;499
133;133;544
134;134;472
135;135;493
136;136;555
137;137;510
138;138;417
139;139;554
140;140;493
141;141;499
142;142;530
143;143;485
144;144;501
145;145;495
146;146;648
147;147;684
148;148;771
149;149;774
150;150;865
151;151;200
152;152;106
153;153;126
154;154;102
155;155;65
156;156;83
157;157;81
158;158;60
159;159;98
160;160;64
161;161;73
162;162;73
163;163;71
164;164;73
165;165;47
166;166;69
167;167;53
168;168;34
169;169;41
170;170;44
171;171;69
172;172;32
173;173;44
174;174;47
175;175;42
176;176;48
177;177;41
178;178;38
179;179;43
180;180;42
181;181;34
182;182;38
183;183;26
184;184;32
185;185;40
186;186;25
187;187;37
188;188;29
189;189;30
190;190;26
191;191;38
192;192;40
193;193;33
194;194;31
195;195;35
196;196;27
197;197;32
198;198;34
199;199;29
200;200;28
201;201;28
202;202;21
203;203;31
204;204;19
205;205;12
206;206;20
207;207;16
208;208;24
209;209;25
210;210;24
211;211;17
212;212;20
213;213;10
214;214;23
215;215;20
216;216;12
217;217;15
218;218;9
219;219;18
220;220;12
221;221;20
222;222;14
223;223;15
224;224;15
225;225;13
226;226;11
227;227;16
228;228;8
229;229;8
230;230;7
231;231;14
232;232;9
233;233;5
234;234;17
235;235;12
236;236;8
237;237;11
238;238;11
239;239;12
240;240;10
241;241;3
242;242;5
243;243;10
244;244;6
245;245;10
246;246;6
247;247;9
248;248;13
249;249;5
250;250;6
251;251;5
252;252;5
253;253;6
254;254;6
255;255;5
256;256;6
257;257;14
258;258;1
259;259;3
260;260;17
261;261;11
262;262;4
263;263;5
264;264;8
265;265;1
266;266;6
267;267;3
268;268;9
269;269;1
270;270;8
271;271;7
272;272;4
273;273;5
274;274;7
275;275;6
276;276;6
277;277;7
278;278;2
279;279;3
280;280;8
281;281;5
282;282;4
283;283;5
284;284;6
285;285;7
286;286;2
287;287;5
288;288;1
289;289;1
290;290;8
291;291;3
292;292;3
293;293;5
294;294;2
295;295;5
296;296;5
297;297;2
298;298;5
299;299;5
300;300;5
301;302;2
302;304;2
303;305;3
304;306;2
305;309;3
306;310;1
307;311;1
308;313;1
309;314;2
310;315;5
311;316;1
312;320;2
313;326;1
314;332;2
315;334;1
316;335;1
317;339;1
318;340;1
319;343;1
320;345;1
321;350;1
322;354;2
323;370;1
324;391;1
325;413;1
326;430;1
327;623;1
